StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,gender,age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,look_after_health_1,checkup,smoker,environment_1,Q85_1,Q60_1,children,age_first_child_1,breastfeed_yesno,breastfeed_length_1,ideal_age_1,parents_dead,parent1_age_1,parent1_age_2,parent1_control_1,parent1_close_1,parent2_age_1,parent2_age_2,parent2_control_1,parent2_close_1,gp_dead,gp1_age_1,gp1_age_2,gp1_control_1,gp1_close_1,gp2_age_1,gp2_age_2,gp2_control_1,gp2_close_1,gp3_age_1,gp3_age_2,gp3_control_1,gp3_close_1,gp4_age_1,gp4_age_2,gp4_control_1,gp4_close_1,stress,subjective_SES_1,subjective_SES_2,subjective_SES_3,subjective_SES_4,subjective_SES_5,subjective_SES_6,subjective_SES_7,subjective_SES_8,subjective_SES_9,subjective_SES_10,income_1,household_1,attention_fruit,attention_smoker,attention_4_1,PROLIFIC_PID,prolific_id - Parent Topics,prolific_id - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for taking part in this research. 

 

In this survey you will answer questions about yourself, your financial preferences, your habits, your family, how you envision the future, and more specifically your family mortality history. It should not take you more than 10 minutes to complete. 
The answers you give will be completely confidential and anonymous, as you will only
be identified by your Prolific ID. The final data will be published online but only be accessible in anonymized form. Any reports or publications based on these data will only include aggregated statistics. As such, there will be no way for you to be personally identified based on the answers you give. You can at any time withdraw this consent and stop the questionnaire and/or ask for deletion of your data using your Prolific ID. If you would like to discuss further about anything related to this survey or the research, please contact main investigator Mona Joly (mona.joly@wzb.eu).

 

This research has been approved by the Research Ethics Committee of the Institution carrying out the research, the Berlin Social Science Center (WZB).

 

By clicking the consent button below you confirm to be at least 18 years old, you agree to voluntarily participate, acknowledge that consent can be withdrawn at any moment without prejudice, and accept the data you provide is analyzed and stored by the researcher.",What is your Prolific ID?,What is your gender?,What is your age?,Please consider the following: would you rather receive 100 Pounds today or 154 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 125 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 112 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 106 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 103 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 109 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 119 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 122 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 116 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 139 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 132 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 129 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 136 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 146 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 143 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 150 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 185 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 202 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 193 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 197 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 189 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 210 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 215 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 206 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 169 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 161 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 158 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 165 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 177 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 173 Pounds in 12 months?,Please consider the following: would you rather receive 100 Pounds today or 181 Pounds in 12 months?,"The next questions are about your general habits.



How much effort do you make to look after your health and ensure your safety these days? 

0 is 'no effort at all' and 100 is 'the maximum effort you could make'. - 1",checkup,Are you currently a smoker?,"The next two questions are about you and the environment. 
 
How much effort do you make to minimize any negative impact of your lifestyle on the environment?

0 is 'no effort at all' and 100 is 'the maximum effort you could make'. - 1","How much effort do you make to use environmentally friendly means of transportation for travel (e.g. bike or underground rather than car, train rather than plane)? 
Again, 0 is 'no effort at all' and 100 is 'the maximum effort you could make'. - 1","The next question is about how you envision the future. 

 

If you made the maximum effort you could make to look after your health and ensure your safety, what do you think the chances would be that you would live to be 75 or more? 

0 is ‘no chance’ and 100 is ‘definitely’. - 1","The next questions are about your family. 
Do you have children?",How old were you when your first child was born? - Age (years old),Did you breastfeed your first child?,"For how long did you exclusively breastfeed your first child?



Note: If your answer is '0', please activate the slider for your response to be saved. - In months","What would be your ideal age to start having children, if you were to want them? - Age (years old)",Are both your biological parents alive?,"How old were your father or mother when they died?


If you are not sure, please give an estimate. - Deceased parent","How old were your father or mother when they died?


If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?

0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this parent?

0 is 'not close at all and 100 is 'the closest you could be'.
 

Note: If you never knew this parent, you can place the slider on '0'. - 1","How old was your other parent when they died?



If you are not sure, please give an estimate. - Deceased parent","How old was your other parent when they died?



If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?

0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this parent? 
Again, 0 is 'not close at all and 100 is 'the closest you could be'.
Note: If you never knew this parent, you can place the slider on '0'. - 1",Are all your biological grandparents alive?,"How old was your first grandparent when they died?



If you are not sure, please give an estimate. - Deceased grandparent","How old was your first grandparent when they died?



If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?

0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this grandparent?

Again, 0 is 'not close at all and 100 is 'the closest you could be'.
 

Note: If you never knew this grandparent, you can place the slider on '0'. - 1","How old was your second grandparent when they died?


If you are not sure, please give an estimate. - Deceased grandparent","How old was your second grandparent when they died?


If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?



0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this grandparent?

Again, 0 is 'not close at all and 100 is 'the closest you could be'.
Note: If you never knew this grandparent, you can place the slider on '0'. - 1","How old was your third grandparent when they died?


If you are not sure, please give an estimate. - Deceased grandparent","How old was your third grandparent when they died?


If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?

0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this grandparent? 
 

Note: If you never knew this grandparent, you can place the slider on '0'. - 1","How old was your fourth grandparent when they died?


If you are not sure, please give an estimate. - Deceased grandparent","How old was your fourth grandparent when they died?


If you are not sure, please give an estimate. - Age at death","Do you think their death was rather caused by circumstances completely beyond their control, or because they could have done more to look after their health and safety?

0 is 'circumstances completely beyond their control' and 100 is 'they could have done more to look after their health'. - 1","How close were you to this grandparent? 

Note: If you never knew this grandparent, you can place the slider on '0'. - 1","Finally, a few more questions about you. 
How often does your life make you feel nervous and ""stressed""?","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 10","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 9","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 8","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 7","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 6","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 5","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 4","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 3","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 2","Now, think of this ladder as representing where people stand in the United Kingdom.
 

At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected job or no job. The higher up you are, the closer you are to the people at the very top; the lower you are, the closer you are the to people at the very bottom.

 

Where would you place yourself on this ladder? 
Please select the rung that best represents where you think you stand on the ladder. 

 

(A box will appear over each rung as you hover over the image. Click to select, click again to deselect.) - 1","What is your total household income per year, including all earners in your household (after tax) in GBP? - Total household income per year","Including you, how many people live in your household? - Number of people in your household",I would rather eat a piece of fruit than a piece of paper.,Are you currently a smoker?,"On a scale of 1 to 10, with one being the least attention and 10 being the most attention, please mark scale point 4 to indicate how much attention you applied while completing this study. - Based on the text you read above, what is your attention level?",PROLIFIC_PID,prolific_id - Parent Topics,prolific_id - Topics
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID79""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID54""}","{""ImportId"":""QID40""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_15""}","{""ImportId"":""QID78_16""}","{""ImportId"":""QID78_17""}","{""ImportId"":""QID78_18""}","{""ImportId"":""QID78_19""}","{""ImportId"":""QID78_20""}","{""ImportId"":""QID78_21""}","{""ImportId"":""QID78_22""}","{""ImportId"":""QID78_23""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""QID1_TEXT_537e087426124649bf701f37ParTopics""}","{""ImportId"":""QID1_TEXT_537e087426124649bf701f37Topics""}"
2020-12-22 18:28:37,2020-12-22 18:31:32,IP Address,146.200.91.213,100,175,True,2020-12-22 18:31:32,R_2cwP3SB2AuYNG2I,,,,,52.4167022705078125,-1.9167022705078125,anonymous,EN-GB,"Yes, I consent to participate.",5e5eb4149ad3de1ea79c3b68,Female,23,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Within the last 3 years,No,75,50,91,No,,,,25,Yes,,,,,,,,,"No, one is dead",Grandmother 1,46,50,0,,,,,,,,,,,,,Very frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"Less than £10,000",3,Strongly agree,No,4,5e5eb4149ad3de1ea79c3b68,,Unknown
2020-12-22 18:29:43,2020-12-22 18:35:33,IP Address,82.16.5.26,100,349,True,2020-12-22 18:35:33,R_2PusYmLpKRBcdfl,,,,,53.2144927978515625,-0.57110595703125,anonymous,EN-GB,"Yes, I consent to participate.",5ef5d10fcf5fa423c82fb18c,Female,22,Today,,,,,,,,,,,,,,,,In 12 months,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,62,Within the past year,No,33,21,75,No,,,,27,Yes,,,,,,,,,"No, one is dead",161,22,31,79,,,,,,,,,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"Less than £10,000",1,Strongly agree,No,4,5ef5d10fcf5fa423c82fb18c,,Unknown
2020-12-22 18:32:16,2020-12-22 18:36:38,IP Address,82.46.41.232,100,261,True,2020-12-22 18:36:38,R_p0LPuyDrNk4rvlT,,,,,51.3654937744140625,-0.1631927490234375,anonymous,EN-GB,"Yes, I consent to participate.",5eeba06231ca2e0f8158b7d1,Female,21,Today,,,,,,,,,,,,,,,,In 12 months,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,84,Within the past year,No,72,66,92,No,,,,28,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,70,19,30,161,77,30,71,241,31,36,0,,,,,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£20,000 - £29,999",4,Strongly agree,No,4,5eeba06231ca2e0f8158b7d1,,Unknown
2020-12-22 18:34:38,2020-12-22 18:37:45,IP Address,85.211.131.206,100,187,True,2020-12-22 18:37:45,R_1LjPIecwlFtbkOe,,,,,52.0592041015625,1.1555023193359375,anonymous,EN-GB,"Yes, I consent to participate.",5fac7e551dad1027e3e664e6,Female,26,Today,,,,,,,,,,,,,,,,Today,,,,,,,,Today,,,,Today,,Today,73,Within the last 2 years,No,60,62,75,No,,,,29,Yes,,,,,,,,,"Yes, they are all alive.",,,,,,,,,,,,,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£20,000 - £29,999",1,Strongly agree,No,4,5fac7e551dad1027e3e664e6,,Unknown
2020-12-22 18:31:47,2020-12-22 18:39:15,IP Address,2.127.7.196,100,447,True,2020-12-22 18:39:16,R_WfjT1n02otVGtup,,,,,53.48089599609375,-2.237396240234375,anonymous,EN-GB,"Yes, I consent to participate.",5f1f35c4b5cf3e0fe2af9eb5,Female,20,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Within the last 2 years,No,85,75,95,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,45,55,0,161,53,70,0,241,87,90,0,,,,,Frequently,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£20,000 - £29,999",3,Strongly agree,No,4,5f1f35c4b5cf3e0fe2af9eb5,,Unknown
2020-12-22 18:34:00,2020-12-22 18:41:50,IP Address,87.115.128.69,100,470,True,2020-12-22 18:41:51,R_2WMeiUBelOG7OIO,,,,,52.08050537109375,-0.1013946533203125,anonymous,EN-GB,"Yes, I consent to participate.",5a948408dbdb470001eea07c,Female,24,In 12 months,In 12 months,Today,,,,Today,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,77,Within the last 2 years,No,59,31,72,No,,,,30,Yes,,,,,,,,,"No, all four are dead.",161,20,77,73,241,309,10,53,Grandmother 1,50,10,0,81,74,50,0,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£30,000 - £39,999",1,Strongly agree,No,4,5a948408dbdb470001eea07c,,Unknown
2020-12-22 19:31:45,2020-12-22 19:38:21,IP Address,86.8.203.45,100,395,True,2020-12-22 19:38:22,R_4YeHIjErUcJDvTb,,,,,51.49639892578125,-0.122406005859375,anonymous,EN-GB,"Yes, I consent to participate.",5fe2211115b59bcf9e7cf354,Female,35,In 12 months,In 12 months,Today,,,,Today,Today,,,,,,,,,,,,,,,,,,,,,,,,30,10 years ago or more,Yes,40,40,80,Yes,27,Yes,1,,Yes,,,,,,,,,"No, all four are dead.",161,73,100,0,Grandmother 1,80,100,0,81,Don't know,70,70,241,>90,70,50,Very frequently,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£10,000 - £15,999",3,Strongly agree,Yes,4,5fe2211115b59bcf9e7cf354,,
2020-12-22 19:43:03,2020-12-22 19:46:02,IP Address,86.172.234.220,100,179,True,2020-12-22 19:46:03,R_1jNUoeMdy0S9XgC,,,,,53.532806396484375,-2.2794036865234375,anonymous,EN-GB,"Yes, I consent to participate.",5cc19050dfef1a00019523b6,Female,28,Today,,,,,,,,,,,,,,,,Today,,,,,,,,Today,,,,Today,,Today,59,Within the last 5 years,No,88,21,82,No,,,,31,Yes,,,,,,,,,"No, one is dead",241,315,89,67,,,,,,,,,,,,,Very frequently,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£16,000 - £19,999",3,Strongly agree,No,4,5cc19050dfef1a00019523b6,,
