session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5feccf7a197628eb8501d56b,5f296dc899c65605ad881760,APPROVED,2020-12-30 19:05:36.287000,2020-12-30 19:12:20.823000,404.536,19,76,0,100,2020-12-31 22:46:50.464000,9700A938,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Mixed,English,United Kingdom,Female,Yes
5fecd0179bca6fe6610bd071,59f4a9477086f80001941298,APPROVED,2020-12-30 19:08:19.195000,2020-12-30 19:12:30.845000,251.65,27,355,0,100,2020-12-31 22:48:31.842000,9700A938,United Kingdom,United Kingdom,DATA EXPIRED,Mixed,English,United Kingdom,Female,DATA EXPIRED
5fecd18251f3a9eb64bb26ab,5fa015e6f8391701b3085777,APPROVED,2020-12-30 19:14:13.918000,2020-12-30 19:23:36.241000,562.323,25,47,0,100,2020-12-31 22:55:04.548000,9700A938,United Kingdom,United Kingdom,Unemployed (and job seeking),Mixed,DATA EXPIRED,United Kingdom,Female,No
5fece5b2eae543ef0cc86296,5b46203aef90180001099394,APPROVED,2020-12-30 20:40:32.223000,2020-12-30 20:52:21.979000,709.756,46,351,1,100,2020-12-31 22:55:06.351000,9700A938,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Other,Turkish,United Kingdom,Female,No
5fecd237827f81eb4e6ff550,5e690f83d1e0d41a69f00db8,APPROVED,2020-12-30 19:17:35.142000,2020-12-30 19:22:54.347000,319.205,25,161,0,100,2020-12-31 22:55:13.035000,9700A938,United Kingdom,United Kingdom,Full-Time,Mixed,English,Morocco,Male,No
5fecd84d9bf07de769b8da6f,5fa43bb9a1da9605a34dcc0d,TIMED-OUT,2020-12-30 19:43:09.852000,,2317358.736242,21,67,0,100,,,United Kingdom,United Kingdom,Full-Time,Mixed,DATA EXPIRED,United Kingdom,Male,Yes
5fece38ffd62fbea2fdc7747,5f4697ecad5ee602362af721,APPROVED,2020-12-30 20:31:11.759000,2020-12-30 20:45:37.292000,865.533,20,110,2,99,2020-12-31 22:55:14.429000,9700A938,United Kingdom,United Kingdom,Part-Time,Mixed,DATA EXPIRED,United Kingdom,Male,Yes
5fecd0a683f6afe64a3e59c5,5f158dba6daab4067326b511,APPROVED,2020-12-30 19:10:32.916000,2020-12-30 19:14:48.108000,255.192,56,74,1,98,2020-12-31 22:55:15.454000,9700A938,Pakistan,United Kingdom,Full-Time,Asian,Urdu,United Kingdom,Male,No
5fecd926957b619eec07fb94,5c782dd1cd7cef0012cb1f3e,APPROVED,2020-12-30 19:46:49.506000,2020-12-30 19:56:26.424000,576.918,53,78,0,100,2020-12-31 22:55:16.263000,9700A938,India,United Kingdom,Full-Time,Asian,Hindi,India,Male,No
5fece0ccb82e46a12bde5f45,5fc4fcc560181108733ff9c7,APPROVED,2020-12-30 20:20:20.250000,2020-12-30 20:26:57.074000,396.824,50,38,0,100,2020-12-31 22:55:17.255000,9700A938,Hong Kong,United Kingdom,Full-Time,Asian,DATA EXPIRED,United Kingdom,Male,No
5fecd7b513597c9d28ab4f8d,5de2b0cc725abb2d8930c683,APPROVED,2020-12-30 19:40:44.732000,2020-12-30 19:45:51.167000,306.435,53,318,2,100,2020-12-31 22:55:17.905000,9700A938,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Female,No
5feccf535312cae99781182a,5d2c704b0a52d4001dafa64e,APPROVED,2020-12-30 19:04:53.947000,2020-12-30 19:07:50.509000,176.562,20,130,2,97,2020-12-31 22:46:33.191000,9700A938,United Kingdom,United Kingdom,Other,Asian,English,United Kingdom,Male,Yes
5fecd02513597c9bbe6d961b,5eb4315cb5441825fa8adbb9,APPROVED,2020-12-30 19:08:21.128000,2020-12-30 19:15:15.609000,414.481,24,142,2,99,2020-12-31 22:48:46.803000,9700A938,Hong Kong,United Kingdom,Part-Time,Asian,Chinese,United Kingdom,Male,No
5fecd26c88f057ebc3301f2b,5d5445e63808390015b8df52,APPROVED,2020-12-30 19:18:09.924000,2020-12-30 19:24:19.946000,370.022,20,147,0,100,2020-12-31 22:55:18.321000,9700A938,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Asian,English,United Kingdom,Male,Yes
